SongName                                           ,5FGuitar ,5FBass ,Drums ,EDrums ,5FKeys ,PKeys ,Vocals ,2PHarmony ,3PHarmony
Luminaire                                          ,       3 ,     3 ,    7 ,-1     ,5      ,5     ,-1     ,-1        ,-1
Marlboro Mountain                                  ,       3 ,     3 ,    3 ,-1     ,0      ,0     ,3      ,3         ,3
The Masquerade                                     ,       4 ,     4 ,    4 ,-1     ,5      ,5     ,2      ,2         ,2
Mass Gap                                           ,       6 ,     6 ,    6 ,-1     ,6      ,7     ,-1     ,-1        ,-1
Moonlight Sonata 3rd Mvt (Big Band Version)        ,       3 ,     5 ,    7 ,-1     ,6      ,6     ,-1     ,-1        ,-1
Need 2                                             ,       3 ,     0 ,    0 ,-1     ,2      ,2     ,1      ,1         ,1
The New World Disorder                             ,       7 ,     7 ,    6 ,6      ,-1     ,-1    ,3      ,3         ,3
No Nations                                         ,       0 ,     1 ,    0 ,-1     ,0      ,0     ,1      ,1         ,1
No Remedy                                          ,       1 ,     1 ,    3 ,-1     ,3      ,3     ,2      ,2         ,2
Nomu                                               ,       3 ,     2 ,    3 ,-1     ,-1     ,-1    ,5      ,5         ,5
Numb the Mind                                      ,       1 ,     0 ,    2 ,-1     ,0      ,0     ,2      ,-1        ,-1
"Oh, Krissy Baby!"                                 ,       3 ,     2 ,    2 ,-1     ,3      ,3     ,4      ,4         ,4
Oopsie Daisy                                       ,       1 ,     3 ,    2 ,-1     ,2      ,2     ,3      ,3         ,3
Over Again                                         ,       2 ,     1 ,    2 ,-1     ,1      ,1     ,5      ,5         ,5
Overdrive                                          ,       3 ,     2 ,    3 ,-1     ,-1     ,-1    ,3      ,-1        ,-1
Oxygen                                             ,       2 ,     1 ,    2 ,-1     ,2      ,2     ,2      ,2         ,2
Participation Trophy Wife                          ,       4 ,     3 ,    3 ,-1     ,-1     ,-1    ,3      ,3         ,-1
Pixel Galaxy                                       ,       6 ,     2 ,    4 ,-1     ,3      ,3     ,-1     ,-1        ,-1
Pizza Rolls                                        ,       5 ,     1 ,    2 ,2      ,-1     ,-1    ,2      ,2         ,2
Plastic Boogie                                     ,       3 ,     3 ,    1 ,-1     ,1      ,1     ,2      ,2         ,2
Poser                                              ,       4 ,     3 ,    3 ,-1     ,-1     ,-1    ,4      ,4         ,4
Positively Clark Street                            ,       4 ,     2 ,    2 ,-1     ,2      ,2     ,4      ,4         ,4
Queen of the Night                                 ,       3 ,     4 ,    3 ,-1     ,3      ,3     ,4      ,4         ,4
Runnin Man                                         ,       3 ,     3 ,    5 ,5      ,-1     ,-1    ,0      ,0         ,0
Sadness (feat. Sapphire Noel)                      ,       2 ,     2 ,    5 ,-1     ,2      ,2     ,2      ,2         ,-1
Seasons (feat. Shiki Miyoshino)                    ,       2 ,     1 ,    0 ,-1     ,1      ,2     ,3      ,3         ,-1
Show Ya                                            ,       2 ,     0 ,    2 ,-1     ,2      ,2     ,3      ,3         ,3
Smile for Me                                       ,       4 ,     2 ,    4 ,-1     ,-1     ,-1    ,3      ,3         ,3
Song of November                                   ,       4 ,     4 ,    4 ,-1     ,1      ,1     ,3      ,3         ,3
Spirit                                             ,       2 ,     1 ,    1 ,-1     ,2      ,2     ,3      ,3         ,3
Splinter                                           ,       2 ,     0 ,    1 ,-1     ,2      ,3     ,3      ,3         ,3
Stowaway Ants                                      ,       3 ,     2 ,    4 ,-1     ,4      ,4     ,3      ,3         ,3
Strangers Once Again (feat. Treb and Ofir Tabakov) ,       4 ,     3 ,    6 ,-1     ,4      ,6     ,5      ,5         ,5
Sweet Victory                                      ,       3 ,     1 ,    2 ,-1     ,3      ,3     ,3      ,3         ,3
Synthespian                                        ,       5 ,     5 ,    6 ,-1     ,-1     ,-1    ,2      ,2         ,-1
They Call                                          ,       4 ,     4 ,    4 ,-1     ,-1     ,-1    ,2      ,2         ,2
Time                                               ,       3 ,     2 ,    4 ,4      ,0      ,0     ,3      ,3         ,3
To Let Go                                          ,       3 ,     3 ,    4 ,-1     ,1      ,1     ,4      ,4         ,4
Vehemence                                          ,       6 ,     4 ,    6 ,-1     ,-1     ,-1    ,-1     ,-1        ,-1
Voidwalker                                         ,       4 ,     3 ,    5 ,-1     ,0      ,0     ,0      ,0         ,0
We All Float Down Here                             ,       6 ,     4 ,    5 ,-1     ,-1     ,-1    ,2      ,2         ,-1
